simulation_id,scenario,tos,qos_class,offered_bandwidth,time_distribution,routing_hops,n_nodes,max_avg_lambda,link_bandwidth,scheduling_policy,tos_queue_weight,min_tos_weight,avg_delay,jitter,packet_loss_rate,delay_p10,delay_p50,delay_p90,actual_bandwidth,log_avg_delay
results_qos_sdwan_0_9_1,A_wfq_fixed,2,Bronze,2524.0,1,1,6,9609.0,100000,WFQ,10.0,10.0,0.010046,4.8e-05,0.0,0.003,0.017,0.017,2.53556,-4.600580733654284
results_qos_sdwan_0_9_1,A_wfq_fixed,0,Gold,3885.0,4,3,6,9609.0,100000,WFQ,60.0,60.0,0.035131,0.000454,0.0,0.009,0.042439,0.060045,1.31227,-3.3486713474107086
results_qos_sdwan_0_9_1,A_wfq_fixed,1,Silver,7798.0,4,2,6,9609.0,100000,WFQ,30.0,30.0,0.024145,0.000246,0.0,0.006,0.034,0.042612,2.62196,-3.723677959656632
results_qos_sdwan_0_9_1,A_wfq_fixed,0,Gold,9417.0,0,3,6,9609.0,100000,WFQ,60.0,60.0,0.033489,0.000182,0.0,0.015,0.0314,0.050393,9.42967,-3.3965382522814322
results_qos_sdwan_0_9_1,A_wfq_fixed,1,Silver,3949.0,1,2,6,9609.0,100000,WFQ,30.0,30.0,0.023092,9.9e-05,0.0,0.01,0.02191,0.036181,3.95706,-3.7682690417834497
results_qos_sdwan_0_9_1,A_wfq_fixed,1,Silver,3083.0,4,3,6,9609.0,100000,WFQ,30.0,30.0,0.034064,0.000178,0.0,0.015,0.03296,0.051118,1.09455,-3.3795141708310137
results_qos_sdwan_0_9_1,A_wfq_fixed,0,Gold,5874.0,1,3,6,9609.0,100000,WFQ,60.0,60.0,0.035329,0.000458,0.0,0.009,0.051,0.061126,5.88713,-3.3430511225686983
results_qos_sdwan_0_9_1,A_wfq_fixed,2,Bronze,7398.0,1,1,6,9609.0,100000,WFQ,10.0,10.0,0.01,2.2e-05,0.0,0.005,0.01,0.014,7.40626,-4.605170185988091
results_qos_sdwan_0_9_1,A_wfq_fixed,2,Bronze,5825.0,4,1,6,9609.0,100000,WFQ,10.0,10.0,0.010071,4.8e-05,0.0,0.003,0.017,0.017,1.99099,-4.5980952723161295
results_qos_sdwan_0_9_1,A_wfq_fixed,2,Bronze,7293.0,0,1,6,9609.0,100000,WFQ,10.0,10.0,0.017517,0.000194,0.0,0.003,0.017,0.034855,7.25995,-4.044583441012627
results_qos_sdwan_0_9_1,A_wfq_fixed,1,Silver,4779.0,0,2,6,9609.0,100000,WFQ,30.0,30.0,0.025426,0.000231,0.0,0.006,0.034,0.044187,4.75946,-3.6719830064542065
results_qos_sdwan_0_9_1,A_wfq_fixed,2,Bronze,6393.0,1,2,6,9609.0,100000,WFQ,10.0,10.0,0.027496,0.000311,0.0,0.006,0.034,0.048583,6.39859,-3.5937147394346045
results_qos_sdwan_0_9_1,A_wfq_fixed,2,Bronze,4281.0,1,1,6,9609.0,100000,WFQ,10.0,10.0,0.010673,5.6e-05,0.0,0.003,0.017,0.017,4.25603,-4.5400380910503095
results_qos_sdwan_0_9_1,A_wfq_fixed,0,Gold,2617.0,1,1,6,9609.0,100000,WFQ,60.0,60.0,0.010997,5.6e-05,0.0,0.003,0.017,0.017,2.63657,-4.51013277065334
results_qos_sdwan_0_9_1,A_wfq_fixed,2,Bronze,6428.0,0,2,6,9609.0,100000,WFQ,10.0,10.0,0.02998,0.000365,0.0,0.006,0.034,0.05219,6.42311,-3.5072247863076855
results_qos_sdwan_0_9_1,A_wfq_fixed,2,Bronze,8952.0,0,3,6,9609.0,100000,WFQ,10.0,10.0,0.041332,0.000581,0.0,0.009,0.051,0.068261,8.89015,-3.1861182606300287
results_qos_sdwan_0_9_1,A_wfq_fixed,2,Bronze,5943.0,0,3,6,9609.0,100000,WFQ,10.0,10.0,0.039866,0.000351,0.0,0.015,0.041169,0.063651,5.94538,-3.2222314486815633
results_qos_sdwan_0_9_1,A_wfq_fixed,2,Bronze,3348.0,1,1,6,9609.0,100000,WFQ,10.0,10.0,0.009963,4.8e-05,0.0,0.003,0.003,0.017,3.33583,-4.608877047919418
results_qos_sdwan_0_9_1,A_wfq_fixed,2,Bronze,4172.0,1,1,6,9609.0,100000,WFQ,10.0,10.0,0.011088,3.7e-05,0.0,0.005,0.01,0.017811,4.17674,-4.50189183653459
results_qos_sdwan_0_9_2,A_wfq_fixed,1,Silver,9842.0,4,1,6,9842.0,100000,WFQ,30.0,30.0,0.010083,2.2e-05,0.0,0.005,0.01,0.014,3.19638,-4.596904441571059
results_qos_sdwan_0_9_2,A_wfq_fixed,2,Bronze,4430.0,0,1,6,9842.0,100000,WFQ,10.0,10.0,0.012509,7.5e-05,0.0,0.003,0.017,0.021955,4.4449,-4.3813068937495325
results_qos_sdwan_0_9_2,A_wfq_fixed,0,Gold,6441.0,0,2,6,9842.0,100000,WFQ,60.0,60.0,0.024097,0.000114,0.0,0.01,0.023586,0.038185,6.42707,-3.725667927561772
results_qos_sdwan_0_9_2,A_wfq_fixed,0,Gold,6785.0,1,1,6,9842.0,100000,WFQ,60.0,60.0,0.01322,8e-05,0.0,0.003,0.017,0.024682,6.80647,-4.3260244445585965
results_qos_sdwan_0_9_2,A_wfq_fixed,0,Gold,6160.0,0,2,6,9842.0,100000,WFQ,60.0,60.0,0.025825,0.000239,0.0,0.006,0.034,0.044807,6.16444,-3.656412263976435
results_qos_sdwan_0_9_2,A_wfq_fixed,2,Bronze,2556.0,4,1,6,9842.0,100000,WFQ,10.0,10.0,0.010322,5.1e-05,0.0,0.003,0.017,0.017,0.952844,-4.573477739255602
results_qos_sdwan_0_9_2,A_wfq_fixed,2,Bronze,9713.0,4,1,6,9842.0,100000,WFQ,10.0,10.0,0.009966,4.8e-05,0.0,0.003,0.003,0.017,3.23283,-4.608575979122924
results_qos_sdwan_0_9_2,A_wfq_fixed,2,Bronze,2325.0,4,3,6,9842.0,100000,WFQ,10.0,10.0,0.039135,0.000609,0.0,0.009,0.051,0.066729,0.840261,-3.2407380717253353
results_qos_sdwan_0_9_2,A_wfq_fixed,2,Bronze,6781.0,4,2,6,9842.0,100000,WFQ,10.0,10.0,0.025271,0.000225,0.0,0.01,0.022186,0.042419,2.33098,-3.6780977857492596
results_qos_sdwan_0_9_2,A_wfq_fixed,1,Silver,3673.0,4,3,6,9842.0,100000,WFQ,30.0,30.0,0.034335,0.000219,0.0,0.015,0.031797,0.053175,1.29223,-3.3715900369094975
results_qos_sdwan_0_9_2,A_wfq_fixed,2,Bronze,5242.0,0,1,6,9842.0,100000,WFQ,10.0,10.0,0.012061,5.8e-05,0.0,0.005,0.01,0.021079,5.21454,-4.417778172381031
results_qos_sdwan_0_9_2,A_wfq_fixed,2,Bronze,9610.0,0,1,6,9842.0,100000,WFQ,10.0,10.0,0.010793,5.8e-05,0.0,0.003,0.017,0.017,9.61486,-4.528857503138927
results_qos_sdwan_0_9_2,A_wfq_fixed,2,Bronze,6612.0,0,3,6,9842.0,100000,WFQ,10.0,10.0,0.042285,0.000646,0.0,0.009,0.051,0.070091,6.62245,-3.1633228657479515
results_qos_sdwan_0_9_2,A_wfq_fixed,2,Bronze,6144.0,1,2,6,9842.0,100000,WFQ,10.0,10.0,0.02791,0.000366,0.0,0.006,0.034,0.04894,6.12913,-3.5787702314339063
